split_state,run,fc2_rate,fp_0as1_rate
DATA_SPLIT_STATE_0,Run_1,0.0079,
DATA_SPLIT_STATE_0,Run_2,0.0236,
DATA_SPLIT_STATE_0,Run_3,0.0236,
DATA_SPLIT_STATE_0,Run_4,0.0118,
DATA_SPLIT_STATE_0,Run_5,0.0197,
DATA_SPLIT_STATE_0,Run_6,0.0157,
DATA_SPLIT_STATE_0,Run_7,0.0079,
DATA_SPLIT_STATE_0,Run_8,0.0118,
DATA_SPLIT_STATE_0,Run_9,0.0118,
DATA_SPLIT_STATE_0,Run_10,0.0197,
DATA_SPLIT_STATE_10,Run_1,0.0039,
DATA_SPLIT_STATE_10,Run_2,0.0315,
DATA_SPLIT_STATE_10,Run_3,0.0039,
DATA_SPLIT_STATE_10,Run_4,0.0039,
DATA_SPLIT_STATE_10,Run_5,0.0039,
DATA_SPLIT_STATE_10,Run_6,0.0039,
DATA_SPLIT_STATE_10,Run_7,0.0079,
DATA_SPLIT_STATE_10,Run_8,0.0,
DATA_SPLIT_STATE_10,Run_9,0.0039,
DATA_SPLIT_STATE_10,Run_10,0.0,
DATA_SPLIT_STATE_20,Run_1,0.0197,
DATA_SPLIT_STATE_20,Run_2,0.0157,
DATA_SPLIT_STATE_20,Run_3,0.0236,
DATA_SPLIT_STATE_20,Run_4,0.0118,
DATA_SPLIT_STATE_20,Run_5,0.0118,
DATA_SPLIT_STATE_20,Run_6,0.0079,
DATA_SPLIT_STATE_20,Run_7,0.0079,
DATA_SPLIT_STATE_20,Run_8,0.0118,
DATA_SPLIT_STATE_20,Run_9,0.0157,
DATA_SPLIT_STATE_20,Run_10,0.0118,
